Task 1.1,Wrong Nodes 1.1,Task 1.2,Wrong Nodes 1.2,Task 1.3,Wrong Nodes 1.3,Task 1.4,Wrong Nodes 1.4,Task 1.5,Wrong Nodes 1.5,Task 1.6,Wrong Nodes 1.6,Task 1.7,Wrong Nodes 1.7,Task 1.8,Wrong Nodes 1.8,Task 1.9,Wrong Nodes 1.9,Task 1.10,Wrong Nodes 1.10,Task 1.11,Wrong Nodes 1.11,Task 1.12,Wrong Nodes 1.12,Task 1.13,Wrong Nodes 1.13,Task 1.14,Wrong Nodes 1.14,Task 1.15,Wrong Nodes 1.15,Task 1 Total,Task 1 Total Wrong Nodes,Task 2.1,Wrong Nodes 2.1,Task 2.2,Wrong Nodes 2.2,Task 2.3,Wrong Nodes 2.3,Task 2.4,Wrong Nodes 2.4,Task 2.5,Wrong Nodes 2.5,Task 2 Total,Task 2 Total Wrong Nodes,Task 3,Wrong Nodes 3,Total,Total wrong nodes
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-









10,157,0,13,42,0,15,743,0,16,42,1,9,782,1,12,504,0,7,545,2,10,349,0,8,835,0,10,398,0,5,939,0,8,083,0,6,575,0,9,982,0,6,041,0,151,773,1,72,466,9,50,45,6,15,502,1,50,68,9,38,658,4,227,756,31,89,275,1,468,804,33
7,289,0,5,719,0,6,563,0,8,043,0,8,735,0,9,698,0,9,015,0,7,03,0,11,942,0,8,261,0,8,003,0,7,424,0,5,353,0,11,963,0,7,227,0,122,265,0,37,306,3,58,449,6,18,652,1,36,251,4,69,896,11,220,554,25,86,882,5,429,701,30
4,936,0,11,151,0,10,476,0,9,785,0,14,118,0,14,106,0,15,703,1,9,586,0,11,767,0,8,487,0,15,258,0,18,992,0,5,818,0,9,727,0,6,828,0,166,738,1,36,089,4,22,921,1,31,228,1,54,422,6,62,138,8,206,798,20,117,212,2,490,748,23
